id,title,phone_number,email_add,zip_code,zip,latitude,longitude,city,state,country
25578285,Nazca Quick Lube,(575) 605-8839,nazcaquicklube@gmail.com,88201,88201,33.6397,-104.3748,Roswell,NM,US
25578287,Caring House Cleaning Services,(415) 941-9105,jeffersonbrag@gmail.com,94103,94103,37.7725,-122.4147,San Francisco,CA,US
25578289,Dee's Salon Suites,(404) 694-1553,deesalonsuites@gmail.com,30291,30291,33.5832,-84.5499,Union City,GA,US
25578291,Ups,(727) 550-7852,mj3465944@gmail.com,33774,33774,27.8839,-82.8265,Largo,FL,US
25578293,ROYAL HANDYMAN LLC,(678) 887-4821,efraincesilio@royalhandymanllc.net,30268,30268,33.5242,-84.679,Palmetto,GA,US
25578295,T&Z Customs,(210) 630-8099,kenneth.spencer24@gmail.com,78258,78258,29.6562,-98.4967,San Antonio,TX,US
25578297,Meier Corp ,(248) 692-3869,Kylemeier05@gmail.com,48348,48348,42.7605,-83.404,Clarkston,MI,US
25578299,Cristal s cleaning,(334) 672-5557,Halfordcristal9@gmail.com,36079,36079,31.7595,-86.0107,Troy,AL,US
25578301,Beths Best Cleaning service ,(478) 696-2767,Beth.starlet98@gmail.com,30076,30076,34.0213,-84.3104,Roswell,GA,US
25578303,Dukes Cleaning Service,(888) 705-6650,Wcornish@dukescleaningservices.com,19152,19152,40.0606,-75.0471,Philadelphia,PA,US
25578305,Berkshire Hathaway CNY Realty,(315) 278-8781,frutherford429@gmail.com,13066,13066,43.0268,-76.0145,Fayetteville,NY,US
25578307,Precision Power Washing,(580) 747-9978,dany_ozc@yahoo.com,73701,73701,36.4028,-97.8623,Enid,OK,US
25578309,Duke's Cleaning Service,(888) 705-6650,Wcornish@dukescleaningservices.com,19149,19149,40.0369,-75.0664,Philadelphia,PA,US
25578311,Patino handyman ,(703) 554-9697,Districelbogota@hotmail.com,20176,20176,39.1821,-77.5359,Leesburg,VA,US
25578313,Handyman ,(832) 549-4932,jimmyroausa@hotmail.com,77494,77494,29.7404,-95.8304,Katy,TX,US
25578315,Handyman ,(240) 603-1158,damiantsalazar86@gmail.com,20737,20737,38.9601,-76.9147,Riverdale,MD,US
25578317,Handymen services,(571) 330-7425,gitano668@gmail.com,22044,22044,38.8589,-77.1548,Falls Church,VA,US
25578319,Montiel Carpet Cleaning ,(804) 332-7687,awesomedre2001@gmail.com,23228,23228,37.4638,-77.398,Henrico,VA,US
25578321,"DanAir HVAC, INC",(239) 225-3347,alexdanair@gmail.com,33904,33904,26.6065,-81.9502,Cape Coral,FL,US
25578323,Borges Building Management,(773) 441-9902,Frankrod74@gmail.com,60625,60625,41.9703,-87.7042,Chicago,IL,US
25578325,Roofing,(828) 490-8747,arnoldalbertomz@gmail.com,28739,28739,35.3192,-82.5,Hendersonville,NC,US
25578327,handymen services,(571) 330-7425,gitano668@gmail.com,22044,22044,38.8589,-77.1548,Falls Church,VA,US
25578329,LIONSTONE,(770) 866-6133,Roxylaunica83@icloud.com,30043,30043,34.0031,-84.0126,Lawrenceville,GA,US
25578331,Jones drywall,(910) 725-3691,ondaclok@gmail.com,28360,28360,34.6697,-79.1084,Lumberton,NC,US
25578333,Aksarben Carpentry Services LLC,(402) 215-1391,No Email Found,68134,68134,41.2949,-96.0546,Omaha,NE,US
25578335,Pitons International Realty,(813) 815-1613,brandongreen@pitonsrealestate.com,33579,33579,27.8024,-82.2755,Riverview,FL,US
25578337,Cg Construction,(914) 602-5457,Cgconstruction914@aol.com,10537,10537,41.3374,-73.8838,Lake Peekskill,NY,US
25578339,Famitor Painting LLC.,(504) 908-0446,wilmer_toro@ymail.com,70006,70006,30.0129,-90.1915,Metairie,LA,US
25578341,Cox landscaping and maintenance,(912) 548-3600,Robertjcox1226@gmail.com,31503,31503,31.2137,-82.3557,Waycross,GA,US
25578343,Plumber Hub,(626) 626-9363,rick.mendoza@yahoo.com,91763,91763,34.0733,-117.6987,Montclair,CA,US
25578345,easy roofing solutions,(714) 488-0636,infoeasyroofing@gmail.com,92801,92801,33.8428,-117.9546,Anaheim,CA,US
25578347,Barrios services llc ,(240) 707-2416,yeison@barriosservices.com,20785,20785,38.9223,-76.8755,Hyattsville,MD,US
25578349,Trail Landscaping,(864) 308-7285,granttrail85@gmail.com,29384,29384,34.3367,-82.088,Waterloo,SC,US
25578351,R&t landscaping ,(276) 870-1717,Tylerbishop1120@gmail.com,37857,37857,36.4162,-83.0108,Rogersville,TN,US
25578353,Northern repair ,(509) 316-1951,Service@northernrepair.com,99301,99301,46.2492,-119.1044,Pasco,WA,US
25578355,Junior's Handyman Service,(757) 268-4166,Wadelando82@gmail.com,23608,23608,37.1526,-76.542,Newport News,VA,US
25578357,Trail Landscaping/ Handyman Services,(864) 308-7285,granttrail85@gmail.com,29374,29374,34.7855,-81.8492,Pauline,SC,US
25578359,Neatpicky Organizational Professionals,(928) 460-5700,shaddosamora@gmail.com,86301,86301,34.5917,-112.4265,Prescott,AZ,US
25578361,Tamed Cutz Llc.,(228) 383-4147,Dderamus72@gmail.com,39503,39503,30.4601,-89.0886,Gulfport,MS,US
25578363,Patterson Relocation & Courier Service,(407) 988-7427,pattersonfrc@gmail.com,32811,32811,28.5163,-81.4516,Orlando,FL,US
25578365,Numbskull Craftsman,(262) 995-3377,numbskullcraftsman@gmail.com,54703,54703,44.8346,-91.5159,Eau Claire,WI,US
25578367,Topdoghandyman,(706) 360-6815,georgethaxton71@gmail.com,30813,30813,33.4504,-82.1982,Grovetown,GA,US
25578369,Southern Hospitality,(205) 566-6329,wesnov@gmail.com,80503,80503,40.1559,-105.1624,Longmont,CO,US
25578371,Mac Fab and Welding ,(402) 659-7560,Mcdaniel0919@gmail.com,90262,90262,33.9241,-118.2013,Lynwood,CA,US
25578373,Lees On-site Landscaping ,(219) 955-3193,miranlee31@gmail.com,46410,46410,41.4957,-87.3509,Merrillville,IN,US
25578375,ET Home Repairs,(470) 282-5976,ethomerepairs@gmail.com,30328,30328,33.9335,-84.3958,Atlanta,GA,US
25578377,356 north broad ,(570) 888-3212,Julissa.agosto@aol.com,18704,18704,41.2742,-75.8903,Kingston,PA,US
25578379,Patriot Plus,(603) 321-9982,mr.ericdurant@gmail.com,3079
25578381,Oldfield Laundry Systems,(909) 248-3050,service@oldfieldlaundry.com,92336,92336,34.1173,-117.4378,Fontana,CA,US
25578383,Blands Handyman Services,(913) 594-2301,Blandservices@yahoo.com,66075,66075,38.1823,-94.7057,Pleasanton,KS,US
25578385,Garcia's five Star appliance and we're going to need another number,(513) 909-6646,garciarepair06@gmail.com,32578,32578,30.5169,-86.4822,Niceville,FL,US
25578387,Move-U,(602) 726-1871,Chrismarr@move-university.com,85022,85022,33.6315,-112.052,Phoenix,AZ,US
25578389,cosyjewlery,(612) 516-5618,anthonywalton8833@gmail.com,10025,10025,40.7975,-73.9683,New York,NY,US
25578391,Prolific Painting,(321) 603-8942,prolificpainting01@gmail.com,30291,30291,33.5832,-84.5499,Union City,GA,US
25578393,manatee county irrigation ,(941) 615-7853,prescobar40@gmail.com,34205,34205,27.4841,-82.5834,Bradenton,FL,US
25578395,Drumheller Renovations,(570) 579-6419,Mustang_18241@yahoo.com,17985,17985,40.9141,-76.1931,Zion Grove,PA,US
25578397,Clemson pc,(864) 777-0070,Donnieharden@clemsonpc.com,29625,29625,34.5271,-82.7087,Anderson,SC,US
25578399,Aurealia Investment LLC,(845) 288-1922,carleenjones38@gmail.com,10451,10451,40.8222,-73.9217,Bronx,NY,US
